time,alt,MN,TRA,Wf,Fn,SmHPC,SmLPC,SmFan,T48,T2,T24,T30,T50,P2,P15,P30,Nf,Nc,epr,phi,Ps30,NfR,NcR,BPR,farB,htBleed,PCNfRdmd,W31,W32
0,0,0,0,1.38,18072,36.564,7.5391,5.1109,1283.6,518.67,551.02,1164.5,1059.1,14.623,16.053,184.69,1258.3,7678.4,1.0519,28.903,171.88,1258.3,7449.6,9.4492,0.013078,282.29,48,16.487,9.8924
1.005,0,0.0036232,1.4493,1.3804,17892,36.556,7.5399,5.1154,1283.7,518.67,551.02,1164.5,1059.2,14.623,16.054,184.7,1258.3,7678.4,1.0518,28.909,171.89,1258.3,7449.6,9.4503,0.013081,282.3,49.072,16.488,9.8927
2.01,0,0.0072645,2.9058,1.3804,17717,36.557,7.5401,5.1227,1283.7,518.68,551.02,1164.5,1059.2,14.624,16.055,184.72,1258.3,7678.5,1.0518,28.908,171.91,1258.3,7449.7,9.4531,0.013081,282.3,50.149,16.489,9.8935
3.015,0,0.010906,4.3623,1.3805,17544,36.556,7.54,5.1319,1283.7,518.68,551.02,1164.5,1059.2,14.625,16.056,184.73,1258.3,7678.5,1.0517,28.909,171.92,1258.3,7449.6,9.4565,0.013081,282.3,51.227,16.49,9.8942
4.02,0,0.014547,5.8188,1.3837,17377,36.52,7.5404,5.1434,1284.8,518.69,551.03,1164.6,1060,14.627,16.057,184.81,1258.3,7678.6,1.0516,28.96,172,1258.3,7449.8,9.4594,0.013109,282.32,52.304,16.493,9.8957
5.025,0,0.018188,7.2754,1.4567,17696,35.593,7.7724,5.2503,1307.4,518.7,551.56,1171.7,1073.6,14.629,16.094,189.28,1269.4,7697.5,1.0534,29.742,176.32,1269.4,7464.5,9.4057,0.013596,284.11,53.381,16.741,10.045
6.03,0,0.02183,8.7319,1.5223,18504,35.173,7.9137,5.4423,1324.3,518.72,552.99,1180.9,1080.1,14.631,16.174,194.94,1293.7,7727.2,1.0554,30.166,181.67,1293.7,7483.6,9.4338,0.013884,286.47,54.459,17.132,10.279
7.035,0,0.025471,10.188,1.5867,19346,34.793,7.9843,5.6196,1340.4,518.74,554.52,1189.8,1086.1,14.633,16.259,200.46,1319.2,7756,1.0572,30.567,186.88,1319.1,7501.1,9.4828,0.014157,288.73,55.534,17.512,10.507
8.04,0,0.029112,11.645,1.6511,20183,34.438,8.0432,5.9018,1355.9,518.76,556.07,1198.5,1091.8,14.635,16.344,205.95,1344.5,7784.4,1.0592,30.949,192.06,1344.4,7518.1,9.5197,0.01442,290.94,56.598,17.891,10.734
9.045,0,0.032754,13.101,1.7171,21014,34.086,8.0997,6.1908,1371.3,518.78,557.62,1207.1,1097.5,14.638,16.429,211.5,1369.8,7812.6,1.0612,31.33,197.3,1369.7,7534.9,9.5483,0.014685,293.12,57.662,18.27,10.962
10.05,0,0.036395,14.558,1.7862,21842,33.714,8.1642,6.4641,1387.3,518.81,559.16,1215.8,1103.9,14.641,16.514,217.2,1395,7841.1,1.0633,31.727,202.68,1394.8,7551.9,9.5683,0.01496,295.35,58.726,18.656,11.193
11.055,0,0.040036,16.014,1.8562,22673,33.36,8.2229,6.7139,1402.9,518.84,560.72,1224.4,1110,14.645,16.601,222.96,1420.3,7869.6,1.0655,32.108,208.12,1420.1,7568.8,9.5818,0.015229,297.55,59.789,19.045,11.427
12.06,0,0.043678,17.471,1.9272,23502,33.027,8.311,6.9459,1418.2,518.87,562.29,1232.9,1115.9,14.648,16.688,228.75,1445.7,7897.9,1.0676,32.481,213.59,1445.5,7585.3,9.5909,0.015494,299.73,60.853,19.435,11.661
13.065,0,0.047319,18.928,1.9991,24329,32.735,8.4281,7.1609,1433.4,518.9,563.87,1241.3,1121.7,14.652,16.776,234.59,1471.1,7926,1.0699,32.847,219.1,1470.8,7601.7,9.5955,0.015755,301.88,61.917,19.826,11.895
14.07,0,0.05096,20.384,2.069,25149,32.483,8.5352,7.3591,1447.5,518.94,565.46,1249.5,1126.7,14.657,16.864,240.36,1496.4,7953.7,1.0721,33.171,224.55,1496,7617.5,9.599,0.015992,303.97,62.955,20.215,12.129
15.075,0,0.054601,21.841,2.1336,25886,32.259,8.6032,7.5901,1460.3,518.98,566.95,1256.8,1131.4,14.661,16.947,245.58,1519.7,7978.5,1.0741,33.472,229.47,1519.3,7631.2,9.6038,0.01621,305.84,63.921,20.565,12.339
16.08,0,0.058243,23.297,2.2017,26613,32.008,8.6595,7.8836,1473.7,519.02,568.47,1264.2,1136.4,14.666,17.028,250.97,1542.7,8003.5,1.0762,33.791,234.56,1542.2,7644.9,9.5997,0.016443,307.74,64.886,20.922,12.553
17.085,0,0.061884,24.754,2.271,27346,31.758,8.6775,8.1587,1486.9,519.07,570.08,1271.7,1141.3,14.671,17.111,256.5,1565.8,8028.9,1.0785,34.095,239.78,1565.2,7658.4,9.5865,0.01667,309.66,65.852,21.286,12.772
18.09,0,0.065525,26.21,2.3405,28077,31.531,8.6815,8.4202,1499.9,519.12,571.71,1279.1,1146,14.676,17.195,261.99,1589,8054.2,1.0807,34.395,244.97,1588.4,7671.5,9.5776,0.016893,311.58,66.818,21.649,12.989
19.095,0,0.069167,27.667,2.4199,28909,31.237,8.736,8.683,1514.8,519.17,573.35,1287,1152,14.682,17.288,267.95,1611.2,8080.6,1.0832,34.76,250.62,1610.5,7685.6,9.5691,0.01716,313.6,67.784,22.034,13.22
20.1,0,0.072808,29.123,2.5068,29816,30.946,8.8591,8.9569,1530.3,519.22,575.04,1295.5,1158,14.688,17.388,274.6,1634.3,8109.8,1.0861,35.128,256.9,1633.5,7702.1,9.551,0.017435,315.8,68.749,22.466,13.479
21.105,0,0.076449,30.58,2.5891,30721,30.727,8.9603,9.206,1544.2,519.28,576.76,1303.8,1162.9,14.694,17.489,281.11,1657.6,8138.6,1.0889,35.434,263.04,1656.7,7717.9,9.5372,0.017669,317.93,69.674,22.895,13.737
22.11,0,0.080091,32.036,2.6681,31525,30.491,9.0355,9.4271,1557.7,519.34,578.33,1311.2,1168.3,14.7,17.582,287.08,1678.7,8164.2,1.0915,35.749,268.68,1677.6,7731.6,9.5237,0.017907,319.84,70.537,23.281,13.969
23.115,0,0.083732,33.493,2.7492,32323,30.247,9.1188,9.6321,1571.5,519.4,579.89,1318.6,1173.7,14.707,17.675,293.13,1699.5,8189.8,1.0942,36.067,274.41,1698.4,7745.4,9.5061,0.018148,321.75,71.401,23.67,14.202
24.12,0,0.087373,34.949,2.8312,33118,30.007,9.1952,9.8645,1585,519.46,581.46,1325.9,1179.1,14.714,17.769,299.2,1720.4,8215.1,1.097,36.381,280.15,1719.1,7758.9,9.4875,0.018388,323.64,72.264,24.058,14.435
25.125,0,0.091014,36.406,2.9139,33913,29.775,9.3322,10.098,1598.4,519.53,583.03,1333.1,1184.4,14.721,17.863,305.29,1741.3,8240.3,1.0997,36.69,285.92,1739.8,7772.2,9.4677,0.018625,325.52,73.127,24.446,14.668
26.13,0,0.094656,37.862,2.997,34702,29.552,9.492,10.317,1611.6,519.6,584.61,1340.2,1189.6,14.728,17.958,311.39,1762.1,8265.2,1.1026,36.99,291.68,1760.5,7785.2,9.447,0.018857,327.36,73.99,24.834,14.9
27.135,0,0.098297,39.319,3.0809,35489,29.333,9.6431,10.524,1624.6,519.67,586.19,1347.3,1194.7,14.736,18.053,317.49,1782.8,8289.9,1.1054,37.287,297.46,1781.1,7797.8,9.4257,0.019088,329.19,74.853,25.22,15.132
28.14,0,0.10194,40.775,3.1576,36241,29.152,9.7683,10.713,1636,519.75,587.76,1353.9,1198.7,14.744,18.146,323.26,1803,8313.3,1.1081,37.528,302.9,1801.1,7809.5,9.4102,0.019279,330.9,75.656,25.591,15.355
29.145,0,0.10558,42.232,3.2319,36895,28.951,9.831,10.878,1647.2,519.83,589.25,1359.9,1203.1,14.753,18.231,328.58,1821,8334.3,1.1106,37.782,307.94,1819,7819.3,9.3915,0.019478,332.46,76.406,25.926,15.555
30.15,0,0.10922,43.688,3.3083,37558,28.756,9.8961,11.039,1658.4,519.91,590.78,1366.1,1207.4,14.761,18.317,334.09,1839.2,8355.9,1.1132,38.032,313.15,1837,7829.4,9.3695,0.019675,334.07,77.157,26.272,15.763
31.155,0,0.11286,45.145,3.3851,38220,28.568,9.9541,11.201,1669.5,519.99,592.32,1372.2,1211.6,14.77,18.404,339.61,1857.4,8377.4,1.1158,38.277,318.38,1855,7839.3,9.3475,0.01987,335.66,77.907,26.619,15.971
32.16,0,0.1165,46.601,3.4731,39029,28.33,10.067,11.367,1682.1,520.08,593.86,1378.6,1216.8,14.779,18.504,345.7,1874.6,8399.9,1.1189,38.572,324.15,1872,7850.2,9.3274,0.020102,337.34,78.657,26.996,16.198
