time,alt,MN,TRA,Wf,Fn,SmHPC,SmLPC,SmFan,T48,T2,T24,T30,T50,P2,P15,P30,Nf,Nc,epr,phi,Ps30,NfR,NcR,BPR,farB,htBleed,PCNfRdmd,W31,W32
0,0,0,0,1.38,18073,36.564,7.5386,5.1095,1283.6,518.67,551.02,1164.5,1059.1,14.623,16.053,184.69,1258.3,7678.4,1.0519,28.903,171.88,1258.3,7449.6,9.4495,0.013078,282.29,48,16.487,9.8924
1.005,0,0.0032051,1.2821,1.3803,17913,36.556,7.5394,5.1133,1283.7,518.67,551.02,1164.5,1059.2,14.623,16.054,184.7,1258.3,7678.4,1.0518,28.909,171.89,1258.3,7449.6,9.4503,0.013081,282.3,48.948,16.488,9.8927
2.01,0,0.0064263,2.5705,1.3804,17758,36.557,7.5397,5.1195,1283.7,518.67,551.02,1164.5,1059.2,14.624,16.054,184.71,1258.3,7678.4,1.0518,28.908,171.9,1258.3,7449.6,9.4526,0.013081,282.3,49.901,16.489,9.8934
3.015,0,0.0096474,3.859,1.3805,17604,36.556,7.5395,5.1271,1283.7,518.68,551.02,1164.5,1059.2,14.625,16.055,184.73,1258.3,7678.5,1.0517,28.908,171.91,1258.3,7449.6,9.4555,0.013081,282.3,50.854,16.49,9.8939
4.02,0,0.012869,5.1474,1.3806,17453,36.556,7.5395,5.1364,1283.7,518.69,551.02,1164.5,1059.2,14.626,16.057,184.74,1258.3,7678.5,1.0516,28.909,171.93,1258.3,7449.6,9.4589,0.013081,282.3,51.807,16.491,9.8947
5.025,0,0.01609,6.4359,1.4082,17394,36.144,7.5944,5.1625,1293,518.7,551.1,1166.3,1065.6,14.628,16.064,185.96,1260.1,7682.5,1.0521,29.28,173.13,1260,7453,9.4338,0.013301,282.76,52.76,16.542,9.9255
6.03,0,0.019311,7.7244,1.4739,17947,35.517,7.8199,5.3111,1311.6,518.71,552.01,1174.5,1074.7,14.629,16.119,190.97,1277,7706.8,1.0539,29.824,177.91,1277,7470.5,9.4204,0.013656,284.83,53.713,16.864,10.118
7.035,0,0.022532,9.0128,1.5302,18688,35.177,7.902,5.4799,1325.9,518.72,553.34,1182.5,1080.1,14.631,16.193,195.86,1299.3,7732.6,1.0556,30.181,182.53,1299.3,7486.5,9.461,0.013898,286.87,54.666,17.203,10.322
8.04,0,0.025753,10.301,1.5874,19437,34.839,7.9623,5.6343,1340.2,518.74,554.71,1190.4,1085.4,14.633,16.268,200.76,1321.9,7758.2,1.0573,30.536,187.15,1321.8,7501.9,9.4983,0.014141,288.87,55.617,17.541,10.524
9.045,0,0.028974,11.59,1.6445,20178,34.522,8.0135,5.8957,1353.9,518.76,556.08,1198,1090.5,14.635,16.343,205.62,1344.4,7783.3,1.059,30.877,191.74,1344.3,7516.9,9.5306,0.014375,290.82,56.558,17.875,10.725
10.05,0,0.032196,12.878,1.7027,20914,34.208,8.0633,6.1526,1367.6,518.78,557.45,1205.6,1095.6,14.638,16.418,210.53,1366.8,7808.3,1.0608,31.216,196.37,1366.6,7531.8,9.5563,0.014609,292.76,57.499,18.211,10.927
11.055,0,0.035417,14.167,1.7636,21648,33.88,8.1228,6.3984,1381.7,518.8,558.81,1213.3,1101.2,14.641,16.494,215.57,1389.1,7833.5,1.0626,31.567,201.13,1388.9,7547,9.5746,0.014853,294.72,58.44,18.553,11.132
12.06,0,0.038638,15.455,1.8252,22383,33.561,8.176,6.624,1395.6,518.82,560.18,1221,1106.6,14.643,16.57,220.65,1411.5,7858.7,1.0645,31.909,205.93,1411.3,7561.9,9.5877,0.015093,296.68,59.381,18.896,11.338
13.065,0,0.041859,16.744,1.8876,23117,33.253,8.224,6.8355,1409.3,518.85,561.57,1228.6,1112,14.647,16.647,225.76,1433.9,7883.8,1.0664,32.243,210.76,1433.7,7576.7,9.5973,0.015329,298.62,60.322,19.241,11.545
14.07,0,0.04508,18.032,1.9508,23850,32.976,8.3303,7.0334,1422.9,518.88,562.97,1236.1,1117.2,14.65,16.725,230.9,1456.4,7908.8,1.0684,32.571,215.61,1456.1,7591.3,9.6032,0.015562,300.53,61.263,19.586,11.752
15.075,0,0.048301,19.321,2.0146,24582,32.719,8.4314,7.2183,1436.2,518.91,564.38,1243.5,1122.3,14.654,16.803,236.08,1478.9,7933.6,1.0704,32.893,220.49,1478.5,7605.6,9.6059,0.015793,302.43,62.204,19.932,11.959
16.08,0,0.051522,20.609,2.0744,25296,32.518,8.517,7.3882,1448.1,518.95,565.77,1250.5,1126.4,14.657,16.88,241.06,1501,7957.7,1.0723,33.161,225.19,1500.6,7619.2,9.6108,0.01599,304.23,63.104,20.271,12.162
17.085,0,0.054744,21.897,2.1327,25940,32.299,8.5813,7.6059,1459.8,518.98,567.08,1257,1130.8,14.661,16.952,245.71,1521.4,7979.5,1.0741,33.442,229.58,1521,7631.3,9.612,0.016192,305.89,63.958,20.579,12.348
18.09,0,0.057965,23.186,2.1929,26585,32.078,8.6306,7.8663,1471.6,519.02,568.42,1263.5,1135.2,14.665,17.025,250.48,1541.8,8001.7,1.076,33.724,234.09,1541.3,7643.5,9.6085,0.016398,307.57,64.813,20.896,12.537
19.095,0,0.061186,24.474,2.2541,27231,31.867,8.6467,8.1107,1483.4,519.06,569.84,1270.1,1139.5,14.67,17.098,255.34,1562.2,8024.2,1.0779,33.998,238.68,1561.7,7655.4,9.6003,0.016599,309.27,65.667,21.218,12.731
20.1,0,0.064407,25.763,2.3153,27880,31.654,8.6524,8.3447,1494.9,519.1,571.29,1276.8,1143.7,14.675,17.172,260.22,1582.8,8046.6,1.0799,34.26,243.29,1582.1,7667.1,9.5891,0.016796,310.97,66.521,21.539,12.923
21.105,0,0.067628,27.051,2.381,28578,31.421,8.6695,8.5731,1507.2,519.14,572.74,1283.5,1148.4,14.679,17.251,265.25,1602.8,8069.1,1.082,34.557,248.04,1602,7678.8,9.5839,0.017014,312.7,67.376,21.866,13.12
