time,alt,MN,TRA,Wf,Fn,SmHPC,SmLPC,SmFan,T48,T2,T24,T30,T50,P2,P15,P30,Nf,Nc,epr,phi,Ps30,NfR,NcR,BPR,farB,htBleed,PCNfRdmd,W31,W32
0,0,0,0,1.38,18071,36.564,7.5392,5.1111,1283.6,518.67,551.02,1164.5,1059.1,14.623,16.053,184.69,1258.3,7678.4,1.0519,28.903,171.88,1258.3,7449.6,9.4492,0.013078,282.29,48,16.487,9.8924
1.005,0,0.004902,1.9608,1.3804,17830,36.556,7.54,5.1178,1283.7,518.67,551.02,1164.5,1059.2,14.623,16.054,184.71,1258.3,7678.4,1.0518,28.909,171.9,1258.3,7449.6,9.4511,0.013081,282.3,49.45,16.488,9.8929
2.01,0,0.0098284,3.9314,1.3805,17595,36.556,7.5402,5.1291,1283.7,518.68,551.02,1164.5,1059.2,14.625,16.055,184.73,1258.3,7678.5,1.0517,28.909,171.91,1258.3,7449.7,9.4553,0.013081,282.3,50.908,16.49,9.8939
3.015,0,0.014755,5.902,1.3936,17386,36.365,7.548,5.1463,1288.3,518.69,551.04,1165.1,1062.6,14.627,16.058,185.13,1258.6,7679.5,1.0518,29.112,172.33,1258.6,7450.5,9.4485,0.013195,282.44,52.365,16.502,9.901
4.02,0,0.019681,7.8725,1.4967,17964,35.166,7.8867,5.3195,1319.1,518.71,551.99,1175.9,1080,14.629,16.121,191.95,1277.4,7709.6,1.0545,30.12,178.89,1277.4,7473.3,9.3865,0.013837,285.19,53.823,16.901,10.141
5.025,0,0.024608,9.8431,1.5844,19073,34.655,8.0482,5.5697,1341,518.73,553.97,1188.2,1088.2,14.632,16.231,199.54,1310.9,7749.5,1.0571,30.656,186.06,1310.8,7498.5,9.4363,0.014205,288.32,55.281,17.427,10.456
6.03,0,0.029534,11.814,1.6712,20200,34.184,8.1316,5.9153,1361.8,518.76,556.05,1199.9,1095.7,14.636,16.345,206.95,1345,7787.8,1.0597,31.166,193.05,1344.9,7521.5,9.4877,0.014558,291.29,56.721,17.938,10.763
7.035,0,0.034461,13.784,1.7612,21321,33.707,8.204,6.3054,1382.7,518.79,558.13,1211.5,1103.6,14.64,16.46,214.46,1379.1,7825.8,1.0624,31.682,200.13,1378.9,7544.1,9.5278,0.014917,294.26,58.161,18.449,11.069
8.04,0,0.039387,15.755,1.8558,22438,33.22,8.2878,6.6531,1404,518.83,560.22,1223.2,1112,14.644,16.576,222.21,1413.1,7864.2,1.0653,32.204,207.45,1412.9,7566.9,9.5485,0.015284,297.24,59.6,18.971,11.383
9.045,0,0.044314,17.725,1.9517,23558,32.785,8.4108,6.9697,1424.7,518.87,562.34,1234.7,1119.9,14.649,16.694,230.04,1447.4,7902.5,1.0683,32.703,214.84,1447.2,7589.4,9.5617,0.015639,300.18,61.039,19.499,11.699
10.05,0,0.04924,19.696,2.0494,24676,32.403,8.5678,7.2555,1444.9,518.92,564.49,1246,1127.6,14.655,16.813,237.94,1481.8,7940.4,1.0713,33.187,222.31,1481.4,7611.4,9.5672,0.015988,303.08,62.478,20.028,12.017
11.055,0,0.054167,21.667,2.1364,25722,32.137,8.674,7.5344,1461.8,518.97,566.57,1256.2,1133.3,14.661,16.929,245.21,1514.6,7975.5,1.0741,33.562,229.16,1514.1,7630.9,9.5781,0.016266,305.69,63.805,20.522,12.313
12.06,0,0.059093,23.637,2.2283,26701,31.799,8.7449,7.9288,1479.8,519.03,568.61,1266.1,1140.1,14.667,17.039,252.45,1545.5,8009,1.077,33.992,236,1545,7649.2,9.5737,0.016579,308.23,65.112,21.001,12.6
13.065,0,0.06402,25.608,2.3222,27692,31.472,8.7649,8.2958,1497.6,519.1,570.8,1276.2,1146.5,14.674,17.151,259.93,1576.8,8043.4,1.08,34.394,243.06,1576.2,7667.3,9.5569,0.016882,310.84,66.419,21.493,12.896
14.07,0,0.068946,27.578,2.4225,28759,31.128,8.7893,8.6454,1516.2,519.16,573.03,1286.4,1153.7,14.681,17.272,267.6,1607.4,8077.9,1.0832,34.841,250.31,1606.7,7685.2,9.5499,0.017211,313.46,67.725,21.993,13.196
15.075,0,0.073873,29.549,2.5409,29961,30.715,8.9511,9.0082,1537.5,519.24,575.27,1297.9,1162.1,14.689,17.405,276.5,1638.1,8116.7,1.0872,35.353,258.74,1637.2,7707.1,9.5236,0.017593,316.41,69.032,22.567,13.54
16.08,0,0.078799,31.52,2.6476,31138,30.454,9.0703,9.3297,1555.1,519.31,577.54,1308.5,1168.3,14.698,17.539,284.97,1668.7,8154.1,1.0908,35.735,266.72,1667.6,7727.3,9.5089,0.017888,319.15,70.231,23.127,13.876
17.085,0,0.083725,33.49,2.7574,32223,30.123,9.1788,9.6178,1573.7,519.4,579.65,1318.5,1175.7,14.707,17.665,293.15,1697,8188.7,1.0944,36.168,274.46,1695.8,7746,9.4871,0.018216,321.74,71.399,23.653,14.192
18.09,0,0.088652,35.461,2.8687,33305,29.806,9.281,9.9313,1592,519.49,581.78,1328.4,1183,14.716,17.792,301.39,1725.3,8223.1,1.0982,36.589,282.26,1724,7764.2,9.4622,0.018538,324.29,72.567,24.179,14.508
19.095,0,0.093578,37.431,2.9814,34382,29.501,9.5036,10.24,1610,519.58,583.92,1338.1,1190,14.726,17.92,309.67,1753.6,8257.1,1.102,36.999,290.09,1752.1,7782.1,9.4352,0.018855,326.82,73.735,24.707,14.824
20.1,0,0.098505,39.402,3.0946,35449,29.21,9.7102,10.524,1627.6,519.68,586.06,1347.7,1196.8,14.737,18.049,317.93,1781.7,8290.5,1.1058,37.397,297.9,1780,7799.3,9.4074,0.019165,329.29,74.902,25.23,15.138
21.105,0,0.10343,41.373,3.1953,36440,28.98,9.8623,10.775,1642.3,519.78,588.16,1356.3,1202,14.748,18.173,325.51,1808.5,8321.4,1.1093,37.707,305.06,1806.6,7814.4,9.3893,0.019412,331.53,75.964,25.719,15.432
22.11,0,0.10836,43.343,3.2977,37324,28.706,9.9377,10.994,1657.6,519.89,590.2,1364.5,1208,14.759,18.288,332.83,1832.8,8350,1.1128,38.053,311.98,1830.6,7827.7,9.3611,0.019684,333.67,76.979,26.177,15.706
23.115,0,0.11328,45.314,3.4021,38224,28.452,10.021,11.213,1672.6,520,592.29,1372.8,1213.7,14.771,18.405,340.33,1857.5,8379.2,1.1164,38.384,319.08,1855.1,7841.2,9.3312,0.019948,335.83,77.994,26.649,15.989
24.12,0,0.11821,47.284,3.5228,39334,28.13,10.18,11.437,1689.7,520.12,594.37,1381.6,1220.7,14.784,18.543,348.66,1880.7,8409.9,1.1206,38.785,326.98,1878.1,7856.1,9.304,0.020263,338.12,79.009,27.164,16.298
25.125,0,0.12314,49.255,3.6549,40548,27.789,10.389,11.659,1708.2,520.24,596.55,1391.6,1228.3,14.797,18.692,357.81,1905.2,8443.3,1.1253,39.202,335.64,1902.3,7872.8,9.2758,0.020596,340.72,80.024,27.728,16.637
26.13,0,0.12806,51.225,3.7796,41718,27.474,10.519,11.851,1725.5,520.37,598.74,1401.4,1235.4,14.81,18.84,366.44,1929.1,8474.2,1.1298,39.575,343.81,1925.9,7887.2,9.2564,0.0209,343.26,80.962,28.256,16.954
27.135,0,0.13299,53.196,3.8997,42763,27.161,10.627,12.014,1742.1,520.5,600.76,1410.3,1242.5,14.824,18.977,374.48,1950.8,8502.2,1.134,39.948,351.43,1947.4,7900,9.2353,0.021201,345.59,81.854,28.74,17.244
