time,alt,MN,TRA,Wf,Fn,SmHPC,SmLPC,SmFan,T48,T2,T24,T30,T50,P2,P15,P30,Nf,Nc,epr,phi,Ps30,NfR,NcR,BPR,farB,htBleed,PCNfRdmd,W31,W32
0,0,0,0,1.38,18072,36.564,7.539,5.1106,1283.6,518.67,551.02,1164.5,1059.1,14.623,16.053,184.69,1258.3,7678.4,1.0519,28.903,171.88,1258.3,7449.6,9.4493,0.013078,282.29,48,16.487,9.8924
1.005,0,0.0034247,1.3699,1.3804,17902,36.556,7.5398,5.1148,1283.7,518.67,551.02,1164.5,1059.2,14.623,16.053,184.7,1258.3,7678.4,1.0518,28.909,171.89,1258.3,7449.6,9.4503,0.013081,282.3,49.013,16.488,9.8927
2.01,0,0.0068664,2.7466,1.3804,17736,36.557,7.54,5.1216,1283.7,518.67,551.02,1164.5,1059.2,14.624,16.054,184.72,1258.3,7678.5,1.0518,28.908,171.9,1258.3,7449.7,9.4528,0.013081,282.3,50.032,16.489,9.8934
3.015,0,0.010308,4.1233,1.3805,17572,36.556,7.5399,5.13,1283.7,518.68,551.02,1164.5,1059.2,14.625,16.056,184.73,1258.3,7678.5,1.0517,28.909,171.92,1258.3,7449.6,9.4559,0.013081,282.3,51.05,16.49,9.8941
4.02,0,0.01375,5.5,1.3807,17412,36.555,7.5398,5.1404,1283.7,518.69,551.03,1164.5,1059.2,14.626,16.057,184.75,1258.3,7678.5,1.0516,28.909,171.93,1258.3,7449.7,9.4597,0.013081,282.3,52.068,16.492,9.8949
5.025,0,0.017192,6.8767,1.4344,17524,35.816,7.6924,5.2035,1301,518.7,551.29,1169,1070.3,14.628,16.077,187.63,1264.2,7689.7,1.0528,29.55,174.75,1264.2,7458.7,9.4134,0.013471,283.44,53.086,16.638,9.9827
6.03,0,0.020634,8.2534,1.4993,18237,35.334,7.8734,5.3814,1318.3,518.71,552.52,1177.9,1077.6,14.63,16.148,193.06,1285.8,7717.6,1.0547,30.005,179.89,1285.7,7477.5,9.4299,0.013776,285.7,54.105,17.005,10.203
7.035,0,0.024075,9.6301,1.5599,19033,34.973,7.9457,5.5552,1333.6,518.73,553.96,1186.4,1083.3,14.632,16.228,198.27,1309.7,7744.9,1.0565,30.386,184.81,1309.7,7494.2,9.4729,0.014035,287.85,55.123,17.365,10.419
8.04,0,0.027517,11.007,1.6207,19830,34.629,8.0052,5.7716,1348.4,518.75,555.42,1194.7,1088.8,14.634,16.308,203.48,1333.8,7772,1.0583,30.753,189.72,1333.7,7510.4,9.5105,0.014287,289.96,56.132,17.724,10.635
9.045,0,0.030959,12.384,1.6824,20618,34.292,8.0587,6.0541,1363.1,518.77,556.89,1202.8,1094.1,14.637,16.388,208.7,1357.8,7798.7,1.0602,31.115,194.65,1357.6,7526.4,9.5409,0.014537,292.04,57.137,18.082,10.849
10.05,0,0.034401,13.76,1.7463,21402,33.948,8.1175,6.3226,1377.9,518.79,558.34,1210.9,1099.9,14.64,16.468,214.02,1381.6,7825.5,1.0621,31.486,199.67,1381.4,7542.4,9.5642,0.014794,294.11,58.143,18.444,11.067
11.055,0,0.037842,15.137,1.8121,22186,33.603,8.1768,6.5681,1392.9,518.82,559.81,1219.2,1105.8,14.643,16.55,219.44,1405.5,7852.5,1.0641,31.854,204.79,1405.3,7558.5,9.5792,0.015052,296.21,59.149,18.811,11.287
12.06,0,0.041284,16.514,1.8785,22970,33.272,8.2293,6.7976,1407.6,518.85,561.29,1227.3,1111.5,14.646,16.632,224.9,1429.5,7879.3,1.0661,32.212,209.95,1429.2,7574.3,9.5903,0.015305,298.29,60.154,19.179,11.507
13.065,0,0.044726,17.89,1.9459,23754,32.972,8.333,7.0115,1422,518.88,562.78,1235.3,1117.1,14.65,16.715,230.39,1453.5,7906,1.0682,32.563,215.13,1453.2,7589.9,9.5973,0.015554,300.34,61.16,19.548,11.729
14.07,0,0.048168,19.267,2.0141,24536,32.697,8.4417,7.2104,1436.3,518.91,564.28,1243.2,1122.6,14.653,16.798,235.91,1477.5,7932.6,1.0704,32.907,220.34,1477.1,7605.2,9.6006,0.0158,302.37,62.165,19.918,11.951
15.075,0,0.05161,20.644,2.078,25299,32.483,8.5336,7.3924,1449,518.95,565.77,1250.8,1126.9,14.657,16.881,241.24,1501.2,7958.3,1.0724,33.193,225.37,1500.8,7619.8,9.6059,0.016011,304.3,63.127,20.279,12.167
16.08,0,0.055051,22.021,2.1403,25987,32.251,8.602,7.6292,1461.5,518.98,567.16,1257.7,1131.6,14.662,16.958,246.2,1522.9,7981.6,1.0743,33.492,230.05,1522.5,7632.7,9.6073,0.016227,306.06,64.04,20.609,12.365
17.085,0,0.058493,23.397,2.2048,26676,32.015,8.6479,7.9056,1474.1,519.02,568.61,1264.7,1136.3,14.666,17.035,251.31,1544.7,8005.3,1.0764,33.792,234.88,1544.1,7645.7,9.6029,0.016446,307.86,64.953,20.947,12.568
18.09,0,0.061935,24.774,2.2703,27370,31.78,8.6646,8.165,1486.6,519.07,570.14,1271.7,1140.9,14.671,17.114,256.54,1566.6,8029.4,1.0785,34.079,239.82,1566,7658.4,9.5904,0.01666,309.68,65.866,21.292,12.775
19.095,0,0.065377,26.151,2.3359,28060,31.564,8.6681,8.4121,1498.9,519.11,571.68,1278.8,1145.4,14.676,17.193,261.73,1588.5,8053.2,1.0806,34.363,244.72,1587.8,7670.8,9.5819,0.016871,311.49,66.779,21.635,12.981
20.1,0,0.068818,27.527,2.4104,28841,31.289,8.7158,8.66,1512.9,519.16,573.23,1286.2,1151,14.681,17.28,267.33,1609.5,8078.1,1.0829,34.706,250.02,1608.8,7684,9.5741,0.017122,313.4,67.691,21.997,13.198
21.105,0,0.07226,28.904,2.4924,29697,31.011,8.8325,8.9211,1527.6,519.21,574.82,1294.3,1156.7,14.687,17.374,273.6,1631.3,8105.7,1.0857,35.055,255.95,1630.5,7699.6,9.5573,0.017382,315.48,68.604,22.404,13.442
22.11,0,0.075702,30.281,2.5725,30563,30.78,8.9343,9.1607,1541.3,519.26,576.46,1302.2,1161.7,14.692,17.471,279.87,1653.5,8133.3,1.0884,35.365,261.87,1652.5,7714.8,9.5415,0.017618,317.53,69.497,22.815,13.689
23.115,0,0.079144,31.658,2.6458,31333,30.576,9.0033,9.3738,1553.8,519.32,577.97,1309.2,1166.5,14.698,17.56,285.5,1673.6,8157.7,1.0908,35.648,267.18,1672.6,7727.9,9.5315,0.017832,319.34,70.313,23.183,13.91
24.12,0,0.082586,33.034,2.7223,32087,30.342,9.0851,9.5708,1566.8,519.38,579.43,1316.3,1171.7,14.705,17.648,291.22,1693.4,8182,1.0933,35.952,272.6,1692.2,7741.1,9.5146,0.018062,321.16,71.129,23.55,14.13
25.125,0,0.086027,34.411,2.7994,32839,30.114,9.1585,9.7773,1579.7,519.44,580.91,1323.2,1176.8,14.711,17.736,296.94,1713.1,8205.9,1.0959,36.25,278.01,1711.8,7753.9,9.4975,0.018289,322.95,71.945,23.916,14.35
26.13,0,0.089469,35.788,2.8774,33589,29.891,9.2535,10.002,1592.4,519.5,582.4,1330.1,1181.9,14.718,17.825,302.69,1732.8,8229.8,1.0985,36.544,283.45,1731.4,7766.5,9.479,0.018514,324.72,72.761,24.283,14.57
27.135,0,0.092911,37.164,2.9557,34338,29.677,9.407,10.215,1604.9,519.57,583.89,1336.8,1186.8,14.725,17.914,308.45,1752.5,8253.4,1.1012,36.831,288.9,1751,7778.9,9.4599,0.018735,326.48,73.576,24.65,14.79
