time,alt,MN,TRA,Wf,Fn,SmHPC,SmLPC,SmFan,T48,T2,T24,T30,T50,P2,P15,P30,Nf,Nc,epr,phi,Ps30,NfR,NcR,BPR,farB,htBleed,PCNfRdmd,W31,W32
0,0,0,0,1.38,18072,36.564,7.5389,5.1104,1283.6,518.67,551.02,1164.5,1059.1,14.623,16.053,184.69,1258.3,7678.4,1.0519,28.903,171.88,1258.3,7449.6,9.4493,0.013078,282.29,48,16.487,9.8924
1.005,0,0.00625,2.5,1.3804,17765,36.556,7.5396,5.1196,1283.7,518.67,551.02,1164.5,1059.2,14.624,16.054,184.71,1258.3,7678.4,1.0518,28.909,171.9,1258.3,7449.6,9.4523,0.013081,282.3,49.849,16.488,9.8931
2.01,0,0.012531,5.0125,1.3806,17468,36.556,7.5398,5.1359,1283.7,518.69,551.02,1164.5,1059.2,14.626,16.056,184.74,1258.3,7678.5,1.0516,28.909,171.93,1258.3,7449.6,9.4584,0.013081,282.3,51.708,16.491,9.8945
3.015,0,0.018812,7.525,1.4899,17779,35.117,7.848,5.2708,1318.3,518.71,551.66,1174,1080.9,14.629,16.102,190.82,1271.6,7702.6,1.0541,30.159,177.85,1271.6,7468.8,9.3691,0.01385,284.7,53.566,16.809,10.085
4.02,0,0.025094,10.037,1.607,19112,34.362,8.1369,5.5817,1347.8,518.74,553.99,1189.9,1092.7,14.633,16.235,200.7,1311.9,7753.5,1.0576,30.905,187.19,1311.8,7502.3,9.4039,0.014362,288.74,55.424,17.483,10.49
5.025,0,0.031375,12.55,1.7176,20538,33.783,8.2399,6.0408,1374,518.77,556.62,1204.7,1102.1,14.637,16.38,210.1,1355.2,7802,1.061,31.539,196.06,1355.1,7531.4,9.469,0.014804,292.52,57.259,18.129,10.878
6.03,0,0.037656,15.062,1.8348,21957,33.179,8.3346,6.5141,1400.6,518.82,559.27,1219.5,1112.3,14.643,16.526,219.75,1398.5,7850.4,1.0645,32.193,205.17,1398.3,7560.1,9.5101,0.015263,296.28,59.094,18.783,11.27
7.035,0,0.043937,17.575,1.9569,23380,32.615,8.4795,6.929,1427,518.87,561.95,1234.1,1122.5,14.649,16.675,229.71,1442,7899.2,1.0683,32.83,214.58,1441.7,7588.9,9.5294,0.015717,300.04,60.929,19.454,11.672
8.04,0,0.050219,20.087,2.0813,24804,32.14,8.6816,7.2945,1452.6,518.93,564.67,1248.5,1132.1,14.656,16.827,239.79,1485.7,7947.6,1.0722,33.436,224.09,1485.3,7616.9,9.5372,0.016156,303.71,62.758,20.129,12.077
9.045,0,0.0565,22.6,2.1906,26103,31.819,8.804,7.6989,1473.6,519,567.29,1261.1,1139.1,14.664,16.972,248.86,1526.7,7991,1.0757,33.899,232.64,1526.2,7640.9,9.5511,0.0165,306.95,64.424,20.744,12.447
10.05,0,0.062781,25.113,2.3095,27357,31.385,8.8475,8.1837,1496.3,519.08,570,1273.9,1147.5,14.672,17.113,258.26,1566.2,8034.2,1.0796,34.424,241.53,1565.6,7664,9.5309,0.016893,310.23,66.09,21.362,12.817
11.055,0,0.069063,27.625,2.4341,28686,30.982,8.8647,8.6306,1519.3,519.16,572.84,1286.7,1156.1,14.682,17.264,267.9,1605.6,8077.9,1.0835,34.964,250.63,1604.8,7686.5,9.5269,0.017293,313.54,67.756,21.993,13.196
12.06,0,0.075344,30.137,2.5845,30200,30.454,9.0573,9.0863,1546.2,519.26,575.67,1301.1,1166.9,14.692,17.432,279.13,1644.3,8126.7,1.0885,35.612,261.26,1643.3,7713.8,9.4936,0.017778,317.24,69.412,22.715,13.629
13.065,0,0.081625,32.65,2.7186,31652,30.134,9.1976,9.4808,1568.2,519.36,578.49,1314.2,1174.6,14.703,17.599,289.65,1682.1,8172.7,1.0931,36.09,271.18,1681,7738.6,9.477,0.018146,320.61,70.901,23.408,14.045
14.07,0,0.087906,35.162,2.8605,33039,29.726,9.3288,9.861,1591.6,519.47,581.21,1326.8,1184,14.715,17.761,300.17,1718.4,8216.8,1.0978,36.63,281.13,1717,7762.1,9.4469,0.01856,323.89,72.39,24.082,14.449
